subject,run_number,Trialid,condition,choice_number,self_value,other_value,choice,self,other,choice_RT
1202,1,13,1,3,30,20,1,30,20,859
1202,1,13,1,4,26,14,1,26,14,722
1202,1,14,3,1,22,6,2,10,10,1054
1202,1,14,3,2,6,22,2,10,10,884
1202,1,14,3,3,26,10,1,26,10,810
1202,1,14,3,4,30,20,1,30,20,825
1202,1,15,4,1,14,6,1,14,6,946
1202,1,15,4,2,20,30,1,20,30,747
1202,1,15,4,3,2,18,2,10,10,947
1202,1,15,4,4,12,22,1,12,22,1312
1202,1,17,1,1,11,8,2,10,10,933
1202,1,17,1,2,26,10,1,26,10,776
1202,1,17,1,3,30,29,1,30,29,1149
1202,1,17,1,4,8,16,2,10,10,1014
1202,1,19,3,1,4,16,2,10,10,795
1202,1,19,3,2,12,3,2,10,10,632
1202,1,19,3,3,10,22,1,10,22,983
1202,1,19,3,4,20,30,1,20,30,937
1202,1,20,1,1,4,16,2,10,10,768
1202,1,20,1,2,12,3,1,12,3,750
1202,1,20,1,3,10,22,1,10,22,1109
1202,1,20,1,4,30,15,1,30,15,838
1202,1,21,4,1,4,16,2,10,10,740
1202,1,21,4,2,10,22,1,10,22,895
1202,1,21,4,3,11,6,1,11,6,864
1202,1,21,4,4,26,10,1,26,10,1024
1202,1,22,3,1,2,2,2,10,10,659
1202,1,22,3,2,26,14,1,26,14,716
1202,1,22,3,3,4,16,2,10,10,808
1202,1,22,3,4,16,8,2,10,10,847
1202,1,23,2,1,20,30,1,20,30,959
1202,1,23,2,2,8,16,2,10,10,743
1202,1,23,2,3,14,26,1,14,26,1052
1202,1,23,2,4,31,3,2,10,10,1789
1202,1,25,4,1,14,6,2,10,10,798
1202,1,25,4,2,6,22,2,10,10,931
1202,1,25,4,3,18,12,1,18,12,1051
1202,1,25,4,4,2,2,2,10,10,657
1202,1,27,2,1,4,12,2,10,10,777
1202,1,27,2,2,30,29,1,30,29,768
1202,1,27,2,3,14,6,2,10,10,1199
1202,1,27,2,4,25,30,1,25,30,922
1202,1,28,1,1,12,22,1,12,22,2052
1202,1,28,1,2,14,6,1,14,6,1051
1202,1,28,1,3,22,12,1,22,12,844
1202,1,28,1,4,4,12,2,10,10,1103
1202,1,29,3,1,18,18,1,18,18,935
1202,1,29,3,2,31,3,2,10,10,1198
1202,1,29,3,3,2,18,2,10,10,999
1202,1,29,3,4,10,18,1,10,18,1038
1202,1,32,2,1,26,14,1,26,14,871
1202,1,32,2,2,15,30,1,15,30,1124
1202,1,32,2,3,7,11,2,10,10,908
1202,1,32,2,4,14,6,1,14,6,1471
1202,1,33,4,1,30,10,1,30,10,877
1202,1,33,4,2,12,18,1,12,18,843
1202,1,33,4,3,17,3,2,10,10,853
1202,1,33,4,4,7,11,2,10,10,713
1202,1,34,1,1,17,3,2,10,10,1228
1202,1,34,1,2,6,22,2,10,10,1272
1202,1,34,1,3,10,18,1,10,18,1074
1202,1,34,1,4,18,10,1,18,10,974
1202,1,36,2,1,11,8,2,10,10,1181
1202,1,36,2,2,10,18,1,10,18,1459
1202,1,36,2,3,18,12,1,18,12,1221
1202,1,36,2,4,2,18,2,10,10,918
1202,2,1,2,1,4,16,2,10,10,821
1202,2,1,2,2,22,6,1,22,6,943
1202,2,1,2,3,10,22,1,10,22,900
1202,2,1,2,4,30,15,1,30,15,1214
1202,2,4,1,1,4,12,2,10,10,853
1202,2,4,1,2,18,12,1,18,12,995
1202,2,4,1,3,30,25,1,30,25,842
1202,2,4,1,4,22,6,2,10,10,1331
1202,2,5,3,1,30,29,1,30,29,1311
1202,2,5,3,2,18,10,1,18,10,796
1202,2,5,3,3,4,12,2,10,10,760
1202,2,5,3,4,14,6,2,10,10,938
1202,2,6,4,1,14,26,1,14,26,1174
1202,2,6,4,2,4,12,2,10,10,933
1202,2,6,4,3,12,8,2,10,10,611
1202,2,6,4,4,18,18,1,18,18,914
1202,2,8,2,1,4,12,2,10,10,1263
1202,2,8,2,2,30,20,1,30,20,779
1202,2,8,2,3,12,8,2,10,10,1519
1202,2,8,2,4,18,10,1,18,10,812
1202,2,10,1,1,6,22,2,10,10,1181
1202,2,10,1,2,15,30,1,15,30,974
1202,2,10,1,3,16,8,2,10,10,654
1202,2,10,1,4,2,2,2,10,10,917
1202,2,11,4,1,30,15,1,30,15,769
1202,2,11,4,2,30,29,1,30,29,781
1202,2,11,4,3,22,6,1,22,6,811
1202,2,11,4,4,1,13,2,10,10,740
1202,2,12,3,1,29,30,1,29,30,830
1202,2,12,3,2,10,30,1,10,30,1088
1202,2,12,3,3,1,13,2,10,10,899
1202,2,12,3,4,14,6,2,10,10,803
1202,2,13,4,1,15,30,1,15,30,970
1202,2,13,4,2,16,8,2,10,10,1198
1202,2,13,4,3,8,16,2,10,10,801
1202,2,13,4,4,22,12,1,22,12,793
1202,2,16,2,1,4,16,2,10,10,1289
1202,2,16,2,2,29,30,1,29,30,827
1202,2,16,2,3,11,6,2,10,10,946
1202,2,16,2,4,10,26,1,10,26,1370
1202,2,17,1,1,29,30,1,29,30,925
1202,2,17,1,2,14,26,1,14,26,905
1202,2,17,1,3,2,18,2,10,10,802
1202,2,17,1,4,14,6,2,10,10,827
1202,2,18,3,1,12,18,1,12,18,897
1202,2,18,3,2,22,12,1,22,12,1084
1202,2,18,3,3,11,6,2,10,10,1121
1202,2,18,3,4,6,22,2,10,10,1037
1202,2,19,1,1,12,8,1,12,8,1044
1202,2,19,1,2,1,13,2,10,10,801
1202,2,19,1,3,22,10,1,22,10,996
1202,2,19,1,4,10,30,1,10,30,1213
1202,2,20,4,1,30,20,1,30,20,765
1202,2,20,4,2,4,28,2,10,10,891
1202,2,20,4,3,22,6,2,10,10,1099
1202,2,20,4,4,29,30,1,29,30,780
1202,2,21,1,1,22,6,2,10,10,780
1202,2,21,1,2,4,28,2,10,10,981
1202,2,21,1,3,12,18,1,12,18,1844
1202,2,21,1,4,30,10,1,30,10,1309
1202,2,22,2,1,16,8,1,16,8,1199
1202,2,22,2,2,22,12,1,22,12,1007
1202,2,22,2,3,18,18,1,18,18,716
1202,2,22,2,4,1,13,2,10,10,782
1202,2,25,3,1,12,22,1,12,22,1125
1202,2,25,3,2,11,8,2,10,10,1020
1202,2,25,3,3,22,10,1,22,10,911
1202,2,25,3,4,7,13,2,10,10,1125
1202,2,27,4,1,4,16,2,10,10,743
1202,2,27,4,2,12,3,2,10,10,974
1202,2,27,4,3,10,26,1,10,26,679
1202,2,27,4,4,26,14,1,26,14,1080
1202,2,29,2,1,6,22,2,10,10,704
1202,2,29,2,2,26,10,1,26,10,1012
1202,2,29,2,3,22,6,2,10,10,1532
1202,2,29,2,4,10,30,1,10,30,1592
1202,2,31,3,1,15,30,1,15,30,1021
1202,2,31,3,2,17,3,2,10,10,1305
1202,2,31,3,3,4,28,2,10,10,905
1202,2,31,3,4,18,12,1,18,12,848
1202,2,33,1,1,18,18,1,18,18,976
1202,2,33,1,2,7,13,2,10,10,942
1202,2,33,1,3,25,30,1,25,30,1108
1202,2,33,1,4,11,6,2,10,10,817
1202,2,34,4,1,7,13,2,10,10,668
1202,2,34,4,2,10,18,1,10,18,608
